"","easy.time","easy.time2","batvalue","latitude","longitude"
"167",2018-02-16 20:25:11,"2018-02-16 20:25:12",58,40.4380196985235,-79.920003502704
"168",2018-02-16 20:28:11,"2018-02-16 20:28:12",57,40.4404793260995,-79.919666466378
"169",2018-02-16 20:31:11,"2018-02-16 20:31:12",56,40.441298342813,-79.9199900497495
"170",2018-02-16 20:34:11,"2018-02-16 20:34:12",56,40.441432622964,-79.9198884940185
"171",2018-02-16 20:37:11,"2018-02-16 20:37:12",56,40.441431757712,-79.9199854339325
"172",2018-02-16 20:40:11,"2018-02-16 20:40:12",55,40.4414276308015,-79.9200208583385
"173",2018-02-16 20:43:11,"2018-02-16 20:43:12",55,40.44139754238,-79.9200151176935
"174",2018-02-16 20:46:11,"2018-02-16 20:46:12",55,40.4414270403345,-79.919979487479
"175",2018-02-16 20:49:11,"2018-02-16 20:49:12",55,40.441396996274,-79.9200103947865
"176",2018-02-16 20:52:11,"2018-02-16 20:52:12",54,40.4414093524765,-79.919946431214
"177",2018-02-16 20:55:11,"2018-02-16 20:55:12",54,40.4413859561585,-79.9200024436095
"178",2018-02-16 21:30:14,"2018-02-16 21:30:15",46,40.440367915189,-79.9195213637585
"179",2018-02-16 21:30:25,"2018-02-16 21:30:26",46,40.4409725077598,-79.9198295056542
"180",2018-02-16 21:33:26,"2018-02-16 21:33:26",45,40.4417013778795,-79.920175491667
"181",2018-02-16 21:36:26,"2018-02-16 21:36:26",45,40.441690904532,-79.920136886012
"182",2018-02-16 21:39:25,"2018-02-16 21:39:26",45,40.4416710228285,-79.9201616957235
"183",2018-02-16 21:42:26,"2018-02-16 21:42:26",44,40.441686270008,-79.920164064004
"184",2018-02-16 21:45:25,"2018-02-16 21:45:26",43,40.4416880104836,-79.9201676529842
"185",2018-02-16 21:48:26,"2018-02-16 21:48:26",43,40.4416679886875,-79.9201464069325
"186",2018-02-16 21:51:26,"2018-02-16 21:51:26",42,40.441691207834,-79.920178423546
"187",2018-02-16 21:54:25,"2018-02-16 21:54:26",41,40.4416941315145,-79.9201810272805
"188",2018-02-17 02:02:40,"2018-02-17 02:02:41",40,40.4404145381285,-79.919550537144
"189",2018-02-17 02:02:44,"2018-02-17 02:02:44",40,40.441670872119,-79.92019523346
"190",2018-02-17 02:04:42,"2018-02-17 02:04:42",40,40.441670872119,-79.92019523346
"191",2018-02-17 02:07:42,"2018-02-17 02:07:42",39,40.441683206698,-79.9200255729105
"192",2018-02-17 02:10:42,"2018-02-17 02:10:42",38,40.441712518864,-79.9200414292515
"193",2018-02-17 02:13:42,"2018-02-17 02:13:42",35,40.4416697014955,-79.920008470414
"194",2018-02-17 02:16:42,"2018-02-17 02:16:43",34,40.4416689923855,-79.920076361756
"195",2018-02-17 02:19:42,"2018-02-17 02:19:42",32,40.4417036794045,-79.9199778632455
"196",2018-02-17 02:22:42,"2018-02-17 02:22:42",30,40.44170257486,-79.919941385702
"197",2018-02-17 02:28:42,"2018-02-17 02:28:42",27,40.441728234586,-79.919998997409
"198",2018-02-17 02:31:42,"2018-02-17 02:31:42",24,40.441640167964,-79.9200039387545
"199",2018-02-17 02:34:42,"2018-02-17 02:34:42",24,40.441589750563,-79.919972182843
"200",2018-02-17 02:37:42,"2018-02-17 02:37:42",27,40.441703765559,-79.91996675174
"201",2018-02-17 02:40:42,"2018-02-17 02:40:42",30,40.4416905897415,-79.9200114049275
"202",2018-02-17 02:43:42,"2018-02-17 02:43:42",32,40.44170375988,-79.91996676134
"203",2018-02-17 02:46:42,"2018-02-17 02:46:42",35,40.4416905897425,-79.9200114049255
"204",2018-02-17 02:49:42,"2018-02-17 02:49:42",38,40.4416840046735,-79.9200337267188
"205",2018-02-17 02:49:42,"2018-02-17 02:49:42",38,40.4416840046735,-79.9200337267188
"206",2018-02-17 02:52:42,"2018-02-17 02:52:42",40,40.441703759883,-79.919966761335
"207",2018-02-17 02:55:42,"2018-02-17 02:55:42",43,40.441690589744,-79.920011404923
"208",2018-02-17 02:58:42,"2018-02-17 02:58:42",45,40.4416905897445,-79.9200114049225
"209",2018-02-17 03:01:42,"2018-02-17 03:01:42",48,40.441690589745,-79.9200114049215
"210",2018-02-17 03:04:42,"2018-02-17 03:04:42",50,40.4416840046747,-79.920033726717
