"","id","time","activity.name","activity.type","accuracy","easy.time","day","hour","minute","second"
"137",137,1518715019025,"[""stationary""]",2,1,2018-02-15 12:16:59,15,12,16,59.0250000953674
"138",138,1518715111065,"[""stationary""]",2,1,2018-02-15 12:18:31,15,12,18,31.0650000572205
"139",139,1518715158065,NA,2,0,2018-02-15 12:19:18,15,12,19,18.0650000572205
"140",140,1518715166502,"[""walking""]",1,0,2018-02-15 12:19:26,15,12,19,26.5020000934601
"141",141,1518715169005,NA,2,0,2018-02-15 12:19:29,15,12,19,29.0050001144409
"142",142,1518715182466,"[""stationary""]",2,1,2018-02-15 12:19:42,15,12,19,42.4660000801086
"143",143,1518715231320,NA,2,0,2018-02-15 12:20:31,15,12,20,31.3199999332428
"144",144,1518715236648,"[""stationary""]",2,1,2018-02-15 12:20:36,15,12,20,36.6480000019073
"145",145,1518715241659,NA,2,0,2018-02-15 12:20:41,15,12,20,41.6589999198914
"146",146,1518715245413,"[""stationary""]",2,1,2018-02-15 12:20:45,15,12,20,45.4130001068115
"147",147,1518715246670,"[""stationary""]",2,1,2018-02-15 12:20:46,15,12,20,46.6700000762939
"148",148,1518715246670,"[""stationary""]",2,1,2018-02-15 12:20:46,15,12,20,46.6700000762939
"149",149,1518715246670,"[""stationary""]",2,1,2018-02-15 12:20:46,15,12,20,46.6700000762939
"150",150,1518715246670,"[""stationary""]",2,1,2018-02-15 12:20:46,15,12,20,46.6700000762939
"151",151,1518715291053,"[""stationary""]",2,1,2018-02-15 12:21:31,15,12,21,31.0529999732971
"152",152,1518715471027,"[""stationary""]",2,1,2018-02-15 12:24:31,15,12,24,31.0269999504089
"153",153,1518715471027,"[""stationary""]",2,1,2018-02-15 12:24:31,15,12,24,31.0269999504089
"154",154,1518715651096,"[""stationary""]",2,1,2018-02-15 12:27:31,15,12,27,31.095999956131
"155",155,1518715831078,"[""stationary""]",2,1,2018-02-15 12:30:31,15,12,30,31.0780000686646
"156",156,1518715847618,NA,2,0,2018-02-15 12:30:47,15,12,30,47.6180000305176
"157",157,1518715851682,"[""stationary""]",2,1,2018-02-15 12:30:51,15,12,30,51.6819999217987
"158",158,1518715997288,"[""stationary""]",2,1,2018-02-15 12:33:17,15,12,33,17.2880001068115
"159",159,1518716011050,"[""stationary""]",2,1,2018-02-15 12:33:31,15,12,33,31.0499999523163
"160",160,1518716133510,NA,2,0,2018-02-15 12:35:33,15,12,35,33.5099999904633
"161",161,1518716143190,"[""stationary""]",2,1,2018-02-15 12:35:43,15,12,35,43.1900000572205
"162",162,1518716159164,NA,2,0,2018-02-15 12:35:59,15,12,35,59.1640000343323
"163",163,1518716167309,"[""stationary""]",2,1,2018-02-15 12:36:07,15,12,36,7.30900001525879
"164",164,1518716185156,NA,2,0,2018-02-15 12:36:25,15,12,36,25.1559998989105
"165",165,1518716185782,"[""stationary""]",0,1,2018-02-15 12:36:25,15,12,36,25.7820000648499
"166",166,1518716191014,NA,2,0,2018-02-15 12:36:31,15,12,36,31.0139999389648
"167",167,1518716193617,"[""stationary""]",2,1,2018-02-15 12:36:33,15,12,36,33.6170001029968
"168",168,1518716200193,NA,2,0,2018-02-15 12:36:40,15,12,36,40.1930000782013
"169",169,1518716214599,"[""stationary""]",2,1,2018-02-15 12:36:54,15,12,36,54.5989999771118
"170",170,1518716224309,NA,2,0,2018-02-15 12:37:04,15,12,37,4.30900001525879
"171",171,1518716237154,"[""stationary""]",2,1,2018-02-15 12:37:17,15,12,37,17.154000043869
"172",172,1518716257511,NA,2,0,2018-02-15 12:37:37,15,12,37,37.510999917984
"173",173,1518716262835,"[""stationary""]",2,1,2018-02-15 12:37:42,15,12,37,42.835000038147
"174",174,1518716266907,NA,2,0,2018-02-15 12:37:46,15,12,37,46.9070000648499
"175",175,1518716290084,NA,2,0,2018-02-15 12:38:10,15,12,38,10.0840001106262
"176",176,1518716364938,NA,2,0,2018-02-15 12:39:24,15,12,39,24.9379999637604
"177",177,1518716371026,NA,2,0,2018-02-15 12:39:31,15,12,39,31.0260000228882
"178",178,1518716475132,"[""stationary""]",2,1,2018-02-15 12:41:15,15,12,41,15.1319999694824
"179",179,1518716475758,"[""stationary""]",2,1,2018-02-15 12:41:15,15,12,41,15.7579998970032
"180",180,1518716475758,"[""stationary""]",2,1,2018-02-15 12:41:15,15,12,41,15.7579998970032
"181",181,1518716475758,"[""stationary""]",2,1,2018-02-15 12:41:15,15,12,41,15.7579998970032
"182",182,1518716475758,"[""stationary""]",2,1,2018-02-15 12:41:15,15,12,41,15.7579998970032
"183",183,1518716551064,"[""stationary""]",2,1,2018-02-15 12:42:31,15,12,42,31.0639998912811
"184",184,1518716731074,"[""stationary""]",2,1,2018-02-15 12:45:31,15,12,45,31.0739998817444
"185",185,1518716910733,"[""stationary""]",2,1,2018-02-15 12:48:30,15,12,48,30.7330000400543
"186",186,1518716911057,"[""stationary""]",2,1,2018-02-15 12:48:31,15,12,48,31.0569999217987
"187",187,1518716950186,NA,2,0,2018-02-15 12:49:10,15,12,49,10.1860001087189
"188",188,1518716957071,"[""stationary""]",2,1,2018-02-15 12:49:17,15,12,49,17.0710000991821
"189",189,1518716997464,"[""stationary""]",2,1,2018-02-15 12:49:57,15,12,49,57.4639999866486
"190",190,1518717091045,"[""stationary""]",2,1,2018-02-15 12:51:31,15,12,51,31.0450000762939
"191",191,1518717133658,NA,2,0,2018-02-15 12:52:13,15,12,52,13.6579999923706
"192",192,1518717143962,"[""stationary""]",2,1,2018-02-15 12:52:23,15,12,52,23.9619998931885
"193",193,1518717201268,NA,2,0,2018-02-15 12:53:21,15,12,53,21.2679998874664
"194",194,1518717205934,"[""stationary""]",2,1,2018-02-15 12:53:25,15,12,53,25.9340000152588
"195",195,1518717207500,NA,2,0,2018-02-15 12:53:27,15,12,53,27.5
"196",196,1518717211560,"[""stationary""]",2,1,2018-02-15 12:53:31,15,12,53,31.5599999427795
"197",197,1518717243508,NA,2,0,2018-02-15 12:54:03,15,12,54,3.50799989700317
"198",198,1518717247571,"[""stationary""]",2,1,2018-02-15 12:54:07,15,12,54,7.57100009918213
"199",199,1518717249451,NA,2,0,2018-02-15 12:54:09,15,12,54,9.45099997520447
"200",200,1518717268254,"[""walking""]",1,0,2018-02-15 12:54:28,15,12,54,28.2539999485016
"201",201,1518717270759,NA,2,0,2018-02-15 12:54:30,15,12,54,30.7590000629425
"202",202,1518717270759,NA,2,0,2018-02-15 12:54:30,15,12,54,30.7590000629425
"203",203,1518717271053,NA,2,0,2018-02-15 12:54:31,15,12,54,31.0529999732971
"204",204,1518717408572,"[""walking""]",1,0,2018-02-15 12:56:48,15,12,56,48.5720000267029
"205",205,1518717411081,NA,2,0,2018-02-15 12:56:51,15,12,56,51.0810000896454
"206",206,1518717418275,"[""stationary""]",2,1,2018-02-15 12:56:58,15,12,56,58.2750000953674
"207",207,1518717431123,NA,2,0,2018-02-15 12:57:11,15,12,57,11.1229999065399
"208",208,1518717443657,NA,2,0,2018-02-15 12:57:23,15,12,57,23.6570000648499
"209",209,1518717568613,"[""stationary""]",2,1,2018-02-15 12:59:28,15,12,59,28.6129999160767
"210",210,1518717568613,"[""stationary""]",2,1,2018-02-15 12:59:28,15,12,59,28.6129999160767
"211",211,1518717568613,"[""stationary""]",2,1,2018-02-15 12:59:28,15,12,59,28.6129999160767
