"","easy.time","easy.time2","batvalue","latitude","longitude"
"178",2018-02-16 02:34:58,"2018-02-16 02:34:58",56,40.4414708268365,-79.91981281697
"179",2018-02-16 02:37:58,"2018-02-16 02:37:58",58,40.441470825017,-79.9198128187175
"180",2018-02-16 02:40:58,"2018-02-16 02:40:58",60,40.441499115837,-79.9198268471482
"181",2018-02-16 02:40:58,"2018-02-16 02:40:58",60,40.441499115837,-79.9198268471482
"182",2018-02-16 02:43:58,"2018-02-16 02:43:58",62,40.441470821852,-79.919812821758
"183",2018-02-16 02:46:58,"2018-02-16 02:46:58",65,40.4414708204765,-79.9198128230795
"184",2018-02-16 02:49:58,"2018-02-16 02:49:58",67,40.4414708192255,-79.9198128242815
"185",2018-02-16 02:52:58,"2018-02-16 02:52:58",69,40.441470818084,-79.9198128253785
"186",2018-02-16 02:55:58,"2018-02-16 02:55:58",71,40.441499112676,-79.919826850185
"187",2018-02-16 02:55:58,"2018-02-16 02:55:58",71,40.441499112676,-79.919826850185
"188",2018-02-16 02:58:58,"2018-02-16 02:58:58",73,40.441470816083,-79.9198128273005
"189",2018-02-16 03:01:58,"2018-02-16 03:01:58",75,40.441470815211,-79.919812828138
"190",2018-02-16 03:04:58,"2018-02-16 03:04:58",77,40.4414708144145,-79.9198128289035
"191",2018-02-16 03:07:58,"2018-02-16 03:07:58",79,40.441470813686,-79.919812829603
"192",2018-02-16 03:10:58,"2018-02-16 03:10:58",80,40.441560248322,-79.9198782944023
"193",2018-02-16 03:10:58,"2018-02-16 03:10:58",80,40.441560248322,-79.9198782944023
"194",2018-02-16 03:13:58,"2018-02-16 03:13:58",81,40.4415952733845,-79.919914677012
"195",2018-02-16 03:16:58,"2018-02-16 03:16:58",81,40.441595256287,-79.9199146851325
"196",2018-02-16 03:19:58,"2018-02-16 03:19:58",81,40.4415952408985,-79.9199146924415
"197",2018-02-16 03:22:58,"2018-02-16 03:22:58",83,40.441595227012,-79.919914699037
"198",2018-02-16 03:25:58,"2018-02-16 03:25:58",85,40.441561311408,-79.9198777894822
"199",2018-02-16 03:25:58,"2018-02-16 03:25:58",85,40.441561311408,-79.9198777894822
